gpu_id,gpu_name,gpu_usage,gpu_free_memory,gpu_used_memory,gpu_total_memory,gpu_temperature,gpu_uuid,cpu_usage,ram_total,ram_available,ram_used,memory_usage,datetime
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,3.56GB,9.82GB,76.9%,2022-04-07 15:57:29.075630
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.6%,15.44GB,3.52GB,9.87GB,77.2%,2022-04-07 15:58:00.783325
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,16.8%,15.44GB,3.48GB,9.82GB,77.4%,2022-04-07 15:58:32.529736
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,15.6%,15.44GB,4.06GB,9.37GB,73.7%,2022-04-07 15:59:04.271929
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,15.4%,15.44GB,4.04GB,9.40GB,73.8%,2022-04-07 15:59:36.019340
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,12.5%,15.44GB,4.18GB,9.24GB,72.9%,2022-04-07 16:00:07.761961
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.3%,15.44GB,4.15GB,9.26GB,73.1%,2022-04-07 16:00:39.511139
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,9.1%,15.44GB,4.37GB,9.07GB,71.7%,2022-04-07 16:01:11.241298
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.39GB,9.06GB,71.6%,2022-04-07 16:01:43.120234
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,8.8%,15.44GB,4.38GB,9.08GB,71.6%,2022-04-07 16:02:14.859479
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,7.3%,15.44GB,4.40GB,9.06GB,71.5%,2022-04-07 16:02:46.606633
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,7.3%,15.44GB,4.40GB,9.06GB,71.5%,2022-04-07 16:03:18.317764
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,6.7%,15.44GB,4.39GB,9.07GB,71.6%,2022-04-07 16:03:50.032497
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.32GB,9.15GB,72.0%,2022-04-07 16:04:21.774591
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.34GB,9.13GB,71.9%,2022-04-07 16:04:53.488471
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,50.0%,15.44GB,4.34GB,9.13GB,71.9%,2022-04-07 16:05:25.229188
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,52.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,8.2%,15.44GB,4.36GB,9.11GB,71.8%,2022-04-07 16:05:56.940386
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,9.3%,15.44GB,4.35GB,9.09GB,71.8%,2022-04-07 16:06:28.654946
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,7.4%,15.44GB,4.35GB,9.05GB,71.8%,2022-04-07 16:07:00.391255
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,10.6%,15.44GB,4.20GB,9.20GB,72.8%,2022-04-07 16:07:32.107958
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.24GB,9.16GB,72.6%,2022-04-07 16:08:03.820783
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,59.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,12.3%,15.44GB,4.01GB,9.21GB,74.1%,2022-04-07 16:08:35.534696
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,3.96GB,9.21GB,74.3%,2022-04-07 16:09:07.286304
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,6.2%,15.44GB,4.11GB,9.17GB,73.4%,2022-04-07 16:09:39.014494
